#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-06-13T08:16:57 [V1.97 (28-Nov-2012)]
#   In case of problem. please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51b97f734b13	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ._DEJ
#-sort=_r
#-nav=cat:II/237&tab:{II/237/colors}&cat:II/66&key:source=Ducati&HTTPPRM:&&-ref=VIZ51b97f734b13&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ._DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/237/colors
#-order=I
#-out=recno
#-out=Name
#-out=Doub
#-out=Var
#-out=r_SpType
#-out=SpType
#-out=RAJ1950
#-out=DEJ1950
#-out=Vmag
#-out=U-V
#-out=B-V
#-out=R-V
#-out=I-V
#-out=_RA.icrs
#-out=_DE.icrs
#Simbad=Simbad
#
#
#RESOURCE=yCat_2237
#Name: II/237
#Title: Stellar Photometry in Johnson's 11-color system (Ducati. 2002)
#Coosys	J1950:	eq_FK5 J1950
#Table	II_237_colors:
#Name: II/237/colors
#Title: Photometric data in the UBVRIJHKLMN colors
#Column	_RAJ2000	(A10)	Right ascension (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Name	(a12)	star identification	[ucd=meta.id]
#Column	Doub	(A1)	[D13] D if double. 1 for component 1 of the system 3 for component 3 of the system	[ucd=meta.code.multip]
#Column	Var	(A1)	[V] V if variable	[ucd=meta.code;src.var]
#Column	r_SpType	(A1)	[MCYBK FGHPSTW] Source of spectral type (1)	[ucd=meta.ref;pos.frame]
#Column	SpType	(a15)	Spectral type/luminosity class	[ucd=src.spType]
#Column	RAJ1950	(A10)	Right ascension J1950	[ucd=pos.eq.ra;meta.main]
#Column	DEJ1950	(A9)	Declination J1950	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-V	(F5.2)	? (U-V) color index	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	B-V	(F5.2)	? (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	R-V	(F5.2)	? (R-V) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	I-V	(F6.2)	? (I-V) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]                                                                                          
#Column Bad Phot *      * if bad photometry (use it only for astrometry)                                                                                                         
#Column CommonName
recno ;Name          ;  _RAJ2000  ; _DEJ2000 ; RAJ1950   ; DEJ1950   ; Vmag   ; U-V    ; B-V    ; R-V    ; I-V    ; Doub; Var ;r_SpTy; SpType         ; Bad Phot (*); CommonName
      ;              ;  h:m:s     ; d:m:s    ; h:m:s     ; d:m:s     ; mag    ; mag    ; mag    ; mag    ; mag    ;     ;     ;      ;                ;
------;--------------;------------;----------;-----------;-----------;--------;--------;--------;--------;--------;-    ;-    ;-     ;----------------;- ;----------------------
     1;  HD  48915   ; 06 45 10.8; -16 41 58 ; 06 42 56.7; -16 38 46 ;   -1.46;   -0.05;       0;       0;    0.03;    1;     ; M    ; A1   V   m     ;  ; Sirius
     2;  HD  45348   ; 06 23 57.0; -52 41 45 ; 06 22 50.5; -52 40 03 ;   -0.74;    0.25;    0.15;   -0.22;   -0.39;     ;     ; M    ; F0   II        ;  ; Canopus
     3;  HD 124897   ; 14 15 43.4; +19 12 36 ; 14 13 22.7; +19 26 30 ;   -0.05;    2.51;    1.23;   -0.98;   -1.63;     ;     ; Y    ; K1.5 IIIFe-0.  ;  ; Arcturus
     4;  HD 128620   ; 14 40 00.8; -60 50 42 ; 14 36 11.2; -60 37 49 ;    0.01;    0.95;    0.71;        ;        ;     ;     ; M    ; G2   V         ;* ; AlphCentA
     5;  HD 172167   ; 18 36 55.3; +38 46 46 ; 18 35 14.6; +38 44 09 ;    0.03;       0;       0;    0.04;    0.07;     ; V   ; Y    ; A0   V    a    ;  ; Vega
     6;  HD  34029   ; 05 16 40.9; +46 00 12 ; 05 12 59.4; +45 56 56 ;    0.08;    1.25;     0.8;    -0.6;   -1.04; D   ;     ; Y    ; G5   IIIe+G0II ;  ; Capella
     7;  HD  34085   ; 05 14 32.3; -08 12 06 ; 05 12 08.0; -08 15 29 ;    0.13;   -0.69;   -0.03;       0;    0.02; D   ;     ; Y    ; B8   Ia    :   ;  ; Rigel
     8;  HD  21629   ; 03 31 12.5; +43 54 18 ; 03 27 48.0; +43 44 06 ;     0.2;        ;        ;        ;        ;     ; V   ; K    ; PEC(NOVA)      ;* ; GKPersei
     9;  HD  61421   ; 07 39 20.5; +05 14 21 ; 07 36 41.1; +05 21 17 ;    0.37;    0.45;    0.42;   -0.42;   -0.65; D   ;     ; Y    ; F5   IV/V      ;  ; Procyon
    10;  HD  39801   ; 05 55 10.1; +07 24 23 ; 05 52 27.7; +07 23 56 ;     0.4;    3.96;    1.89;   -1.57;   -2.85; D   ; V   ; Y    ; M1.5 Ia/Iab    ;  ; Betelgeuse
    11;  HD  10144   ; 01 37 42.3; -57 14 10 ; 01 35 51.3; -57 29 24 ;    0.46;   -0.82;   -0.16;    0.03;    0.14;     ;     ; M    ; B3   V       ep;  ; Achernar
    12;  HD 187642   ; 19 50 45.1; +08 51 47 ; 19 48 20.6; +08 44 06 ;    0.76;    0.31;    0.22;   -0.14;   -0.27;     ;     ; Y    ; A7   V         ;  ; Altair
    13;  HD  29139   ; 04 35 55.0; +16 30 43 ; 04 33 02.9; +16 24 38 ;    0.86;    3.46;    1.54;   -1.23;   -2.17;     ; V   ; Y    ; K5   III       ;  ; Aldebaran
    14;  HD 148478   ; 16 29 24.3; -26 25 53 ; 16 26 20.1; -26 19 21 ;    0.91;    3.17;    1.84;   -1.55;   -2.78;     ; V   ; M    ; M1.5 Iab       ;  ; Antares
    15;  HD 116658   ; 13 25 11.7; -11 09 39 ; 13 22 33.3; -10 54 03 ;    0.97;   -1.17;   -0.23;    0.09;    0.33;     ; V   ; Y    ; B1   III/IV+B2 ;  ; Spica
    16;  HD  62509   ; 07 45 21.2; +28 01 35 ; 07 42 15.4; +28 08 54 ;    1.14;    1.86;       1;   -0.75;   -1.25; D   ;     ; Y    ; K0   IIIb      ;  ; Pollux
    17;  HD 216956   ; 22 57 37.7; -29 37 12 ; 22 54 53.5; -29 53 16 ;    1.16;    0.15;    0.09;   -0.05;   -0.07;     ;     ; M    ; A3   V         ;  ; Fomalhaut
    18;  RR  PIC     ; 06 35 36.6; -62 38 22 ; 06 35 10.3; -62 35 48 ;     1.2;        ;        ;        ;        ;     ; V   ; K    ; PEC(NOVA)      ;* ; 
    19;  HD 111123   ; 12 47 43.4; -59 41 18 ; 12 44 46.9; -59 24 56 ;    1.25;   -1.22;   -0.23;    0.13;    0.39;     ; V   ; M    ; B0.5 III       ;  ; Becrux
    20;  HD 197345   ; 20 41 25.7; +45 16 48 ; 20 39 43.4; +45 06 02 ;    1.25;   -0.14;    0.09;   -0.11;   -0.21;     ; V   ; Y    ; A2   Ia        ;  ; Deneb
    21;  HD 128621   ; 14 40 00.9; -60 50 42 ; 14 36 11.3; -60 37 49 ;    1.33;    1.56;    0.88;        ;        ;     ;     ; M    ; K1   V         ;* ; AlphCentB
    22;  HD  87901   ; 10 08 23.1; +11 58 02 ; 10 05 42.6; +12 12 45 ;    1.35;   -0.47;   -0.11;    0.02;    0.12; D   ;     ; Y    ; B7   V         ;  ; Regulus
    23;  HD  52089   ; 06 58 37.4; -28 58 18 ; 06 56 39.5; -28 54 09 ;     1.5;   -1.14;   -0.21;    0.09;     0.3; D   ;     ; M    ; B2   II        ;  ; Adharaz
    24;  HD  60178/9 ; 07 34 36.6; +31 53 22 ; 07 31 24.6; +31 59 58 ;    1.58;    0.05;    0.04;   -0.07;   -0.06; D   ;     ; Y    ; A2   Vm + A1 V ;  ; Castor
    25;  HD  35468   ; 05 25 07.8; +06 21 00 ; 05 22 26.8; +06 18 22 ;    1.64;    -1.1;   -0.22;    0.09;    0.31;     ;     ; Y    ; B2   III       ;  ; Bellatrix
    26;  HD 108903   ; 12 31 09.7; -57 06 34 ; 12 28 22.7; -56 50 00 ;    1.64;    3.37;    1.59;   -1.66;   -3.08;     ; V   ; M    ; M4   III       ;  ; Gacrux
    27;  HD  35497   ; 05 26 17.4; +28 36 36 ; 05 23 07.7; +28 34 02 ;    1.65;   -0.62;   -0.13;    0.01;    0.11;     ;     ; Y    ; B7   III       ;  ; Alnath
    28;  HD  37128   ; 05 36 12.7; -01 12 05 ; 05 33 40.4; -01 13 54 ;    1.69;   -1.21;   -0.18;    0.07;    0.24;     ; V   ; Y    ; B0   Ia        ;  ; Alnilam
    29;  HD  80007   ; 09 13 13.6; -69 43 06 ; 09 12 39.6; -69 30 38 ;    1.69;    0.03;       0;   -0.06;   -0.08;     ;     ; M    ; A1   III       ;  ; Miaplacidus
    30;  HD 209952   ; 22 08 13.2; -46 57 32 ; 22 05 05.4; -47 12 14 ;    1.71;    -0.6;   -0.13;    0.04;    0.12;     ;     ; M    ; B7   IV        ;  ; Alnair
    31;  HD  37742   ; 05 40 45.4; -01 56 30 ; 05 38 13.9; -01 58 00 ;    1.77;   -1.27;   -0.21;    0.07;    0.27; D   ;     ; Y    ; O9.7 Ib      e ;  ; Alnitak
    32;  HD 112185   ; 12 54 01.2; +55 57 35 ; 12 51 50.2; +56 13 51 ;    1.77;   -0.01;   -0.02;    0.02;    0.05;     ; V   ; Y    ; A0       Cr   p;  ; Aliioth
    33;  HD  20902   ; 03 24 19.1; +49 51 41 ; 03 20 44.3; +49 41 05 ;    1.79;    0.85;    0.48;        ;        ;     ;     ; Y    ; F5   Ib        ;  ; Mirphak
    34;  HD  95689   ; 11 03 44.4; +61 45 04 ; 11 00 39.5; +62 01 15 ;    1.79;    1.99;    1.07;   -0.81;   -1.39; D   ;     ; Y    ; K0   IIIa      ;  ; Dubhe
    35;  HD  68273   ; 08 09 31.8; -47 20 11 ; 08 07 59.3; -47 11 17 ;    1.83;   -1.19;   -0.25;    0.02;    0.17;     ; V   ; M    ; WC 8 + O9 I    ;  ; Suhail
    36;  HD  54605   ; 07 08 23.4; -26 23 35 ; 07 06 21.4; -26 18 45 ;    1.84;    1.22;    0.68;   -0.51;   -0.84;     ;     ; M    ; F8   Ia        ;  ; Wezen
    37;  HD 169022   ; 18 24 10.3; -34 22 57 ; 18 20 51.1; -34 24 35 ;    1.85;   -0.16;   -0.03;       0;    0.01;     ;     ; M    ; B9.5 III       ;  ; Kaus
    38;  HD 120315   ; 13 47 33.0; +49 18 47 ; 13 45 34.3; +49 33 43 ;    1.86;   -0.87;   -0.19;    0.12;     0.3;     ;     ; Y    ; B3   V         ;  ; Alkaid
    39;  HD  40183   ; 05 59 31.9; +44 56 50 ; 05 55 51.5; +44 56 40 ;     1.9;    0.07;    0.03;   -0.08;   -0.07;     ; V   ; Y    ; A2   IV        ;  ; Menkalinan
    40;  HD  47105   ; 06 37 42.5; +16 23 58 ; 06 34 49.3; +16 26 36 ;    1.92;    0.06;       0;   -0.06;   -0.05;     ;     ; Y    ; A0   IV        ;  ; Alhena 
    41;  HD  44743   ; 06 22 41.9; -17 57 19 ; 06 20 29.7; -17 55 45 ;    1.97;    -1.2;   -0.24;    0.14;    0.38;     ; V   ; M    ; B1   II/III    ;  ; Murzim
    42;  HD  81797   ; 09 27 35.3; -08 39 33 ; 09 25 07.8; -08 26 28 ;    1.97;    3.17;    1.45;   -1.04;   -1.81;     ;     ; Y    ; K3   II/III    ;  ; Alphard
    43;  HD  89484   ; 10 19 57.1; +19 50 36 ; 10 17 13.0; +20 05 42 ;    1.98;    2.15;    1.15;   -0.85;   -1.47; D   ;     ; Y    ; K1   IIIbFe-0. ;  ; Algeiba
    44;  HD 143454   ; 15 59 30.0; +25 54 11 ; 15 57 24.4; +26 02 38 ;       2;    0.69;     0.1;        ;        ;     ; V   ; Y    ; Be+gM3+Q    sd ;* ; TCorBorealis
    45;  HD   4128   ; 00 43 34.4; -17 59 12 ; 00 41 04.7; -18 15 37 ;    2.01;    1.89;    1.01;   -0.72;   -1.23;     ;     ; M    ; K0   III       ;  ; Deneb
    46;  HD  12929   ; 02 07 09.7; +23 27 50 ; 02 04 20.9; +23 13 35 ;    2.01;    2.28;    1.16;   -0.86;   -1.47;     ;     ; Y    ; K2   III Ca-1  ;  ; Hamal
    47;  HD   8890   ; 02 31 38.0; +89 15 50 ; 01 48 48.7; +89 01 42 ;    2.02;    0.98;     0.6;   -0.49;    -0.8;    1; V   ; Y    ; F7  :Ib/II     ;  ; Polaris
    48;  HD   6860   ; 01 09 43.0; +35 37 18 ; 01 06 55.3; +35 21 20 ;    2.05;    3.53;    1.57;   -1.24;   -2.24;     ;     ; Y    ; M0   IIIa      ;  ; Mirach
    49;  HD 123139   ; 14 06 43.1; -36 21 44 ; 14 03 43.9; -36 07 28 ;    2.05;    1.89;    0.99;   -0.76;   -1.29;     ;     ; M    ; K0   IIIb      ;  ; Menkent
    50;  HD    358   ; 00 08 22.7; +29 05 34 ; 00 05 47.8; +28 48 52 ;    2.06;   -0.58;   -0.11;    0.03;    0.13;     ; V   ; Y    ; B8   IV  MnHg p;  ; Alpheratz
    51;  HD  38771   ; 05 47 45.3; -09 40 08 ; 05 45 22.9; -09 41 07 ;    2.06;   -1.19;   -0.18;    0.03;    0.21;     ;     ; Y    ; B0.5 Ia        ;  ; Saiph
    52;  HD 116656   ; 13 23 54.8; +54 55 32 ; 13 21 54.9; +55 11 09 ;    2.06;    0.05;    0.02;    0.04;    0.06; D   ;     ; Y    ; A1   V   SrSi p;  ; Mizar
    53;  HD 159561   ; 17 34 55.5; +12 33 47 ; 17 32 36.6; +12 35 41 ;    2.07;    0.25;    0.15;   -0.14;   -0.22;     ;     ; Y    ; A5   III       ;  ; Rasalhague
    54;  HD 131873   ; 14 50 42.6; +74 09 18 ; 14 50 49.6; +74 21 35 ;    2.08;    3.24;    1.47;   -1.11;   -1.87; D   ;     ; Y    ; K4   III       ;  ; Kocab
    55;  HD  12533   ; 02 03 53.6; +42 19 48 ; 02 00 49.0; +42 05 25 ;     2.1;    2.12;     1.2;   -0.94;   -1.63; D   ;     ; Y    ; K3   IIb       ;  ; Alamak
    56;  HD 214952   ; 22 42 39.2; -46 53 03 ; 22 39 41.3; -47 08 47 ;    2.11;    3.22;    1.62;   -1.91;   -3.68;     ; V   ; M    ; M5   III(W)    ;  ; BetaGruis
    57;  HD  19356   ; 03 08 10.1; +40 57 20 ; 03 04 54.4; +40 45 52 ;    2.12;   -0.42;   -0.05;   -0.04;   -0.01;     ; V   ; Y    ; B8   V         ;  ; Algol
    58;  HD 102647   ; 11 49 05.2; +14 34 23 ; 11 46 30.5; +14 51 04 ;    2.14;    0.16;    0.08;   -0.06;   -0.08;     ; V   ; Y    ; A3   V         ;  ; Denebola
    59;  HD 110304   ; 12 41 31.7; -48 57 33 ; 12 38 44.7; -48 41 06 ;    2.17;   -0.02;   -0.01;   -0.03;   -0.03; D   ;     ; M    ; A0   IV        ;  ; GammaCentauri
    60;  HD  78647   ; 09 07 59.8; -43 25 58 ; 09 06 09.3; -43 13 48 ;    2.21;    3.46;    1.65;   -1.24;   -2.18;     ; V   ; M    ; K4   III       ;  ; Alsuhail
    61;  HD 164058   ; 17 56 36.3; +51 29 20 ; 17 55 26.5; +51 29 37 ;    2.22;     3.4;    1.52;   -1.14;   -1.99;     ;     ; Y    ; K5   III       ;  ; Etamin
    62;  HD   3712   ; 00 40 30.1; +56 32 15 ; 00 37 39.3; +56 15 47 ;    2.23;    2.29;    1.17;   -0.78;   -1.38;     ; V   ; Y    ; K0   IIIa      ;  ; Schedar
    63;  HD 194093   ; 20 22 13.6; +40 15 23 ; 20 20 25.9; +40 05 43 ;    2.23;    1.21;    0.67;   -0.49;   -0.83;     ;     ; Y    ; F8   Ib        ;  ; Sadr
    64;  HD  36486A  ; 05 32 00.3; -00 17 53 ; 05 29 26.9; -00 20 01 ;    2.24;   -1.28;   -0.22;    0.08;     0.3;     ; V   ; Y    ; O9.5 II        ;* ; Mintaka
    65;  HD 139006   ; 15 34 40.7; +26 42 56 ; 15 32 34.1; +26 52 53 ;    2.24;   -0.05;   -0.02;   -0.03;    0.01;     ; V   ; Y    ; A0   V + G5V   ;  ; Alphekka 
    66;  HD  66811   ; 08 03 35.1; -40 00 11 ; 08 01 49.5; -39 51 40 ;    2.25;   -1.36;   -0.27;    0.11;    0.33;     ;     ; M    ; O5   Ia  f     ;  ; Naos
    67;  HD  80404   ; 09 17 05.4; -59 16 30 ; 09 15 45.0; -59 03 52 ;    2.26;    0.34;    0.18;   -0.24;   -0.44;     ;     ; M    ; A9   Ib        ;  ; Turais
    68;  HD    432   ; 00 09 07.7; +59 09 08 ; 00 06 30.2; +58 52 26 ;    2.27;    0.46;    0.34;    -0.3;    -0.5;     ;     ; Y    ; F2   III/IV    ;  ; Caph
    69;  HD 151680   ; 16 50 12.1; -34 17 21 ; 16 46 55.1; -34 12 14 ;    2.29;    2.32;    1.16;   -0.86;   -1.46;     ;     ; M    ; K2   IIIb      ;  ; Wei
    70;  HD 118716   ; 13 39 53.4; -53 27 56 ; 13 36 42.3; -53 12 45 ;     2.3;   -1.14;   -0.22;    0.15;     0.4;     ; V   ; Y    ; B1   III       ;  ; EpsilonCentauri
    71;  HD 127972   ; 14 35 30.5; -42 09 25 ; 14 32 19.3; -41 56 20 ;    2.31;   -1.01;   -0.19;     0.1;    0.28;     ; V   ; M    ; B1.5 V      n  ;  ; EtaCentauri
