#
#   VizieR Astronomical Server vizier.u-strasbg.fr 	2011-12-17T22:26:10 [V1.80]
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VIZ4eed156b4eb6	
#INFO	-out.max=1000	

#RESOURCE=yCat_2237
#Name: II/237
#Title: Stellar Photometry in Johnson's 11-color system (Ducati, 2002)
#Coosys	J1950:	eq_FK5 J1950
#Table	II_237_colors:
#Name: II/237/colors
#Title: Photometric data in the UBVRIJHKLMN colors
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Name	(a12)	star identification	[ucd=meta.id]
#Column	RAJ1950	(A10)	Right ascension J1950	[ucd=pos.eq.ra;meta.main]
#Column	DEJ1950	(A9)	Declination J1950	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-V	(F5.2)	? (U-V) color index	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	B-V	(F5.2)	? (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	R-V	(F5.2)	? (R-V) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	I-V	(F6.2)	? (I-V) color index	[ucd=phot.color;em.opt.V;em.opt.I]
recno	Name	RAJ1950	DEJ1950	Vmag	U-V	B-V	R-V	I-V	CommonName
 	 	"h:m:s"	"d:m:s"	mag	mag	mag	mag	mag
--------	------------	----------	---------	-----	-----	-----	-----	------
    1279	 HD  48915  	06 42 56.7	-16 38 46	-1.46	-0.05	 0.00	 0.00	  0.03	Sirius
    1155	 HD  45348  	06 22 50.5	-52 40 03	-0.74	 0.25	 0.15	-0.22	 -0.39	Canopus
    2371	 HD 124897  	14 13 22.7	+19 26 30	-0.05	 2.51	 1.23	-0.98	 -1.63	Arcturus
    3145	 HD 172167  	18 35 14.6	+38 44 09	 0.03	 0.00	 0.00	 0.04	  0.07	Vega
     803	 HD  34029  	05 12 59.4	+45 56 56	 0.08	 1.25	 0.80	-0.60	 -1.04	Capella
     800	 HD  34085  	05 12 08.0	-08 15 29	 0.13	-0.69	-0.03	 0.00	  0.02	Rigel
    1460	 HD  61421  	07 36 41.1	+05 21 17	 0.37	 0.45	 0.42	-0.42	 -0.65	Procyon
    1063	 HD  39801  	05 52 27.7	+07 23 56	 0.40	 3.96	 1.89	-1.57	 -2.85	Betelgeuse
     219	 HD  10144  	01 35 51.3	-57 29 24	 0.46	-0.82	-0.16	 0.03	  0.14	Achernar
    3376	 HD 187642  	19 48 20.6	+08 44 06	 0.76	 0.31	 0.22	-0.14	 -0.27	Altair
     692	 HD  29139  	04 33 02.9	+16 24 38	 0.86	 3.46	 1.54	-1.23	 -2.17	Aldebaran
    2706	 HD 148478  	16 26 20.1	-26 19 21	 0.91	 3.17	 1.84	-1.55	 -2.78	Antares
